Marker1,Marker2,Marker3,x,y
2.036575,3.20377,7.7709,1,3
2.209808,3.374045,6.863926,2,3
2.771708,3.795246,5.901239,3,3
4.4812,5.221297,3.92168,5,3
5.347689,5.989504,3.048351,6,3
7.569599,7.358719,1.185386,8,4
6.674405,6.423724,1.951359,7,4
5.780564,5.487268,2.88467,6,4
5.756899,5.46813,2.90534,6,4
8.836982,8.140461,1.378946,9,5
8.91064,8.203074,1.426625,9,5
8.875073,8.189913,1.389475,9,5
7.996205,7.215624,1.546202,8,5
8.022839,7.225759,1.5633,8,5
8.043312,7.276625,1.518848,8,5
7.127469,6.182479,2.264007,7,5
7.227681,6.241446,2.246009,7,5
7.211741,6.309109,2.156726,7,5
7.131862,6.242213,2.208458,7,5
6.331037,5.268981,3.055554,6,5
6.385376,5.302831,3.020523,6,5
6.41399,5.363748,2.966714,6,5
6.338047,5.319713,3.006165,6,5
6.347875,5.3332,2.992884,6,5
5.563413,4.350028,3.941051,5,5
5.619344,4.370568,3.920657,5,5
5.596074,4.365142,3.926052,5,5
5.609606,4.415097,3.876534,5,5
4.829109,3.3572,4.96137,4,5
4.870298,3.34677,4.963092,4,5
4.88037,3.36318,4.950953,4,5
4.896458,3.407296,4.9033,4,5
4.316437,2.494578,5.938566,3,5
4.350778,2.535789,5.888358,3,5
4.396706,2.490362,5.929969,3,5
4.352028,2.583006,5.856652,3,5
4.031091,1.851884,6.872452,2,5
4.077032,1.83279,6.88911,2,5
4.067233,1.870976,6.845399,2,5
4.050253,1.872913,6.835883,2,5
4.922342,1.622758,6.984759,2,6
4.865808,1.601945,7.010478,2,6
4.823377,1.552945,7.087124,2,6
4.871225,1.567578,7.075836,2,6
3.844475,1.54308,7.761629,1,5
3.842316,1.550269,7.793238,1,5
3.864178,1.534289,7.807015,1,5
3.902697,1.516769,7.78146,1,5
2.942635,2.358578,7.729064,1,4
2.911127,2.392417,7.778438,1,4
2.976955,2.334536,7.765215,1,4
3.022792,2.295293,7.706775,1,4
3.099823,2.579832,6.738686,2,4
3.056125,2.625147,6.728416,2,4
3.151347,2.544333,6.733871,2,4
3.146343,2.541202,6.739806,2,4
3.608793,3.04699,5.787099,3,4
3.585152,3.039046,5.820892,3,4
3.583242,3.045571,5.813811,3,4
4.136538,3.83506,4.722944,4,4
4.062806,3.772358,4.803788,4,4
4.174785,3.825504,4.684022,4,4
4.157007,3.80356,4.723559,4,4
4.438216,5.187995,3.971996,5,3
4.334645,5.095872,4.080331,5,3
4.386165,5.067393,4.03824,5,3
4.467592,5.122361,3.955148,5,3
5.363304,5.942902,3.037344,6,3
5.335299,5.980421,3.070407,6,3
5.246397,5.937537,3.143918,6,3
5.2446,5.913388,3.142737,6,3
5.217097,7.260387,3.982517,6,1
5.200781,7.188188,3.924669,6,1
