true_x, true_y, pred_x, pred_y
8.862739271,3.160190505,9,4
8.889251344,3.21739332,9,4
7.748265993,4.067293417,8,4
6.811403383,4.059404009,7,4
5.914992698,4.007788458,6,4
2.365431632,0.966627931,2,1
3.270561709,1.003990876,3,1
4.163656249,1.015082438,4,1
5.154888261,1.0454858,5,1
5.947205638,1.09933508,6,1
5.990927357,1.853692686,6,2
4.944490949,1.969423411,5,2
4.083297449,1.959763754,4,2
2.973044113,1.947366827,3,2
2.137695395,2.011797068,2,2
1.0056741,2.204571345,1,2
1.057023489,3.163318693,1,3
2.165788647,3.063998205,2,3
3.112083552,3.069737049,3,3
4.108694392,2.968919475,4,3
5.052229262,3.003656116,5,3
5.992452623,2.91746234,6,3
5.730272082,3.878012032,6,4
4.959978404,3.934610652,5,4
3.946274766,3.914310956,4,4
3.093979711,4.075293154,3,4
2.027562019,4.102267931,2,4
0.985684925,4.016134204,1,4
1.122692463,4.897460207,1,5
2.166869806,4.998259417,2,5
3.205957534,4.911963687,3,5
4.235259811,4.99371412,4,5
5.144937305,4.943280175,5,5
6.203954408,5.08223759,6,5
6.940838497,4.951755064,7,5
7.866344118,5.270359066,8,5
8.83050498,5.436627692,9,5
5.946206902,2.997723705,6,3
5.01721263,3.036457158,5,3
4.020411847,3.02415459,4,3
3.030189095,2.991982573,3,3
2.067685465,2.903446795,2,3
1.092959167,2.912480994,1,3
7.78000861074126, 4.23049596276993, 8, 4
6.85856857022627, 4.10988347764663, 7, 4
5.88586774911081, 4.08626181849518, 6, 4
4.01826109189491, 3.97532912853437, 4, 4
3.08278610802181, 3.9555516051555, 3, 4
2.1781878310743, 3.89023896383991, 2, 4
1.21686731540715, 3.90459899444745, 1, 4
1.19692406843513, 3.06465794226882, 1, 3
2.13618561366373, 2.98578529934188, 2, 3
3.03149844312499, 2.9738450885391, 3, 3
3.94514869675077, 2.90410775952943, 4, 3
6.00876171299846, 2.9543620275915, 6, 3
5.05005808547571, 2.9898399465924, 5, 3
5.04811441674235, 4.97688522553682, 5, 5
4.05966510296234, 5.00494522388547, 4, 5
3.11357250775647, 5.01553955724343, 3, 5
2.19388216430332, 5.05485621631989, 2, 5
2.24110159288023, 5.99779405366563, 2, 6
3.14074743151445, 1.28763013002718, 3, 1
4.08676757423119, 1.29720526397253, 4, 1
5.03614180211375, 1.25994203006982, 5, 1
6.1096408846363, 1.37000343908401, 6, 1
6.08194771059188, 3.26295249003761, 6, 3
5.17136758069319, 3.25730996651401, 5, 3
4.10464716068372, 3.18177686249264, 4, 3
3.15378916747192, 3.29407837708991, 3, 3
2.17854243257818, 3.33430419397448, 2, 3
1.20961268872732, 3.35080913156937, 1, 3
0.981743529240539, 2.15866418722065, 1, 2
2.95269481225104, 2.06925927514718, 3, 2
2.9162911414909, 3.13326683997123, 3, 3
2.92163176907224, 4.03116372816558, 3, 4
3.04619929658388, 4.92377698109919, 3, 5
3.10163630955247, 5.74742595294381, 3, 6
2.18271315564272, 5.76336106791833, 2, 6
1.19967986874577, 4.74808561904043, 1, 5
1.22954362867607, 3.86851901635406, 1, 4
1.13068292110754, 3.18784099945583, 1, 3
2.10718368488726, 3.2009376164465, 2, 3
2.14029441401277, 4.03828608472734, 2, 4
3.16117121019797, 3.91747425680549, 3, 4
3.11637157965909, 3.07674902668627, 3, 3
4.04211590085736, 3.92143212548647, 4, 4
4.02193339337469, 4.83806484707886, 4, 5
5.04259697884135, 4.82617871579982, 5, 5
6.13362923355492, 4.68797466500401, 6, 5
7.08599164596853, 4.75049953483533, 7, 5
8.07849836231605, 4.89396031520564, 8, 5
9.02816305309048, 5.11441047652533, 9, 5
7.82224821576976, 4.26556134607173, 8, 4
6.99221541786675, 4.06614768296757, 7, 4
6.17308283472836, 3.87456912164106, 6, 4
6.08951684606944, 2.97682135271673, 6, 3
5.12782456312988, 3.01925548528576, 5, 3
4.02583449731713, 3.15661998760675, 4, 3
3.10443132591658, 3.20358805771107, 3, 3
2.18747793461376, 3.16248885129064, 2, 3
1.19211295359219, 3.01326355824801, 1, 3
1.01179518612773, 2.07837847321969, 1, 2
2.22594408538581, 2.01052504079343, 2, 2
3.17825024015954, 2.06714337964013, 3, 2
5.96745461181511, 1.03785686005561, 6, 1
4.99213763306568, 1.11851226309409, 5, 1
4.00350883038079, 1.13339902750222, 4, 1
3.0879055316567, 1.19201803920642, 3, 1
2.10644059255032, 1.41072760508232, 2, 1
