x,y,distance 1,distance 2,distance 3,distance 4
1,1,-1.09,6.981,8.456,5.223
2,1,1.956,4.52,1.278,2.489
3,1,0.394,5.458,5.233,4.091
4,1,8.294,5.067,0.028,3.309
5,1,3.636,4.237,-1.221,4.403
6,1,3.05,5.643,-2.236,4.442
6,2,4.866,4.677,-3.096,3.583
5,2,2.269,6.083,-2.314,2.528
4,2,2.113,3.71,0.048,2.138
3,2,1.097,3.065,0.614,3.329
2,2,-0.269,4.413,1.659,2.098
1,2,-0.66,8.895,6.239,1.864
1,3,0.159,6.63,3.622,1.278
2,3,0.433,4.618,2.626,-0.166
3,3,5.355,3.739,0.302,1.708
4,3,7.913,1.317,-1.026,2.02
5,3,6.022,1.005,-2.041,7.606
6,3,4.925,-0.166,-2.549,5.848
9,4,9.573,-3.369,1.317,6.044
8,4,7.503,-0.869,-0.332,3.817
7,4,7.65,1.073,-1.494,2.684
6,4,6.917,0.536,-1.69,1.942
5,4,7.074,0.614,-0.908,1.122
4,4,6.683,3.153,0.018,1.552
3,4,7.23,2.489,0.927,1.825
2,4,4.925,4.364,2.059,-0.557
1,4,1.214,6.054,4.833,0.262
1,5,2.308,7.372,1.63,-1.182
2,5,2.728,6.161,1.083,-0.791
3,5,4.847,4.325,0.966,-0.283
4,5,4.251,2.216,0.018,0.536
5,5,7.503,1.786,-0.791,8.456
6,5,8.011,-0.01,-1.26,8.739
7,5,7.034,-1.026,0.985,10.497
8,5,8.831,-3.018,1.005,8.505
9,5,10.491,-0.01,0.77,5.536
5,6,5.355,3.622,2.294,1.308
3,6,5.745,8.583,5.341,-1.26
2,6,4.495,7.87,3.934,-1.68
1,6,7.347,6.757,5.35,-2.94
1,1,-1.48,8.114,2.186,11.766
2,1,-0.855,7.284,4.598,3.466
3,1,0.823,7.372,1.122,3.466
4,1,6.917,5.878,-0.713,3.544
5,1,6.487,5.341,-0.361,8.437
6,1,6.683,2.294,-1.68,5.145
6,2,4.485,4.442,-3.115,3.114
5,2,4.847,13.466,2.596,3.241
4,2,8.851,7.997,2.059,4.852
3,2,0.003,4.442,2.528,4.481
2,2,-0.504,4.833,1.356,3.571
1,2,-0.894,5.907,4.13,3.192
1,3,0.208,4.364,2.958,1.395
2,3,0.159,4.247,2.294,7.45
3,3,1.722,2.919,2.802,7.372
4,3,6.058,1.981,1.63,6.669
5,3,7.23,0.497,-1.416,5.028
6,3,6.976,0.028,-2.471,5.761
1,4,1.204,6.63,2.763,0.341
2,4,5.003,5.878,9.628,-0.322
3,4,6.331,3.505,-0.01,3.827
4,4,4.964,3.241,-0.713,0.77
5,4,6.361,0.38,-1.152,1.317
6,4,8.714,-0.674,1.864,2.567
7,4,13.978,-1.455,1.102,3.153
8,4,8.284,-1.563,-0.303,6.005
9,4,11.136,-3.174,0.731,4.559
1,5,4.886,6.493,2.255,1.63
2,5,2.308,5.458,7.723,-0.625
3,5,3.363,3.622,0.956,-0.635
4,5,11.429,2.137,0.888,-0.518
5,5,3.87,1.122,-0.049,1.015
6,5,5.511,0.731,-0.038,1.708
7,5,7.034,-0.557,0.253,3.739
8,5,8.792,-2.432,0.516,4.735
9,5,9.964,-1.885,0.692,5.419
1,6,3.206,9.169,4.413,-3.057
2,6,2.855,5.419,3.856,-2.08
3,6,5.472,4.501,3.387,-0.752
5,6,5.355,2.723,1.434,1.161
1,1,-1.324,11.591,4.286,8.69
2,1,-0.66,6.962,2.479,1.942
3,1,1.585,5.848,1.776,7.518
4,1,3.988,6.122,-0.752,5.702
5,1,2.191,4.237,-1.963,5.341
6,1,3.558,5.614,-2.51,5.106
1,2,-1.051,5.35,5.887,4.823
2,2,-0.347,6.239,2.86,5.145
3,2,0.55,8.036,3.827,5.643
4,2,1.136,6.864,3.886,9.911
5,2,2.386,7.216,-2.275,2.802
6,2,4.847,2.948,-3.33,5.057
1,3,0.472,4.716,2.596,1.552
2,3,2.347,3.739,3.27,0.458
3,3,3.714,3.856,1.776,0.966
4,3,9.769,1.63,-0.215,1.552
5,3,7.855,0.536,-0.772,3.124
6,3,6.292,-0.44,-2.119,6.942
1,4,1.409,5.848,3.036,0.262
2,4,6.487,3.817,1.513,-1.182
3,4,6.175,2.684,0.614,0.399
4,4,7.122,2.02,-0.156,1.044
5,4,4.612,0.223,-1.338,1.044
6,4,6.8,-0.596,-0.801,7.548
7,4,7.679,-1.26,2.743,2.763
8,4,10.96,-2.314,-0.986,3.7
9,4,8.362,-3.369,0.38,5.145
1,5,3.402,3.895,3.388,-1.27
2,5,3.431,5.341,2.304,-0.674
3,5,5.042,3.212,1.2,1.239
4,5,5.12,2.294,0.419,2.04
5,5,5.667,1.562,-0.596,7.489
6,5,7.074,-0.4,-0.479,8.466
7,5,7.357,-0.42,-0.322,11.864
8,5,8.089,-2.158,0.018,7.723
9,5,11.839,-1.592,2.596,8.466
1,6,3.167,7.606,4.442,-2.783
2,6,6.956,6.395,3.153,-1.651
3,6,5.804,7.138,10.77,-1.182
5,6,7.064,2.45,4.051,3.358
1,1,-1.363,6.513,1.395,3.153
2,1,-0.543,6.083,1.669,2.489
3,1,0.198,13.114,2.128,3.153
4,1,5.13,4.403,1.122,3.231
5,1,7.181,4.013,0.731,6.786
6,1,5.355,1.63,-2.432,5.614
6,2,7.777,5.409,-3.291,3.114
5,2,4.847,4.989,-0.713,2.391
4,2,5.159,3.241,0.165,8.749
3,2,0.237,5.292,2.919,2.294
2,2,0.277,5.106,4.677,2.176
1,2,1.292,7.548,6.747,1.747
1,3,0.941,6.112,3.778,1.825
2,3,5.784,3.973,3.622,-0.44
3,3,5.569,3.417,1.132,0.848
4,3,7.386,1.864,-0.635,1.406
5,3,5.042,0.966,-1.963,3.817
6,3,6.8,0.663,0.028,2.294
9,4,12.073,-3.135,1.942,4.95
8,4,9.066,-2.236,-1.026,3.466
7,4,9.671,-1.963,1.356,2.997
6,4,7.943,-0.361,1.356,1.981
5,4,6.566,1.044,-0.918,1.2
4,4,9.769,3.212,-0.479,1.122
3,4,5.319,2.763,1.454,-0.244
2,4,5.071,6.864,1.923,-1.104
1,4,6.331,5.77,2.255,0.184
1,5,4.72,5.653,3.622,-1.338
2,5,3.079,6.435,1.307,-0.83
3,5,4.573,3.973,1.044,-0.635
4,5,5.941,1.317,0.341,3.388
5,5,6.722,1.317,0.253,0.77
6,5,5.941,-0.479,-0.039,1.591
7,5,6.722,-1.26,-0.44,3.446
8,5,9.202,-1.738,0.429,7.137
9,5,10.003,-1.807,1.483,5.067
5,6,8.06,1.825,1.317,4.52
3,6,5.247,9.208,5.526,-1.338
2,6,3.792,7.929,6.747,-2.236
1,6,5.13,9.188,5.809,-3.018
1,1,-1.558,9.52,3.475,2.645
2,1,-0.035,4.052,1.044,3.153
3,1,1.527,6.239,2.02,4.599
4,1,5.13,5.614,1.239,2.763
5,1,6.478,4.442,-2.236,7.684
6,1,3.561,3.241,-2.471,4.051
6,2,6.068,4.53,-3.115,4.56
5,2,6.058,5.614,-1.338,2.802
4,2,6.097,3.388,1.903,6.991
3,2,2.659,3.231,4.003,2.684
2,2,-0.23,4.442,2.997,1.356
1,2,-1.129,5.106,3.505,2.567
1,3,0.003,5.262,3.934,1.747
2,3,1.178,4.032,3.563,0.145
3,3,5.514,2.919,0.458,0.653
4,3,7.191,1.512,-1.299,1.688
5,3,6.097,0.809,-0.977,5.878
6,3,8.851,-0.244,-2.744,6.376
9,4,10.98,-3.291,5.419,10.77
8,4,7.884,0.536,-0.596,3.505
7,4,6.566,0.848,-1.455,2.684
6,4,4.573,3.036,-1.768,2.294
5,4,7.239,1.659,-0.449,8.837
4,4,3.011,0.223,-0.518,1.473
3,4,8.753,3.153,0.536,-1.69
2,4,6.185,4.638,1.591,-1.143
1,4,4.456,5.614,3.798,-0.127
1,5,2.581,6.942,3.827,-1.533
2,5,2.386,4.716,1.923,1.239
3,5,5.657,3.309,1.434,0.028
4,5,4.837,2.177,0.663,0.848
5,5,4.378,0.888,-0.127,1.2
6,5,6.37,-0.869,-1.026,1.669
7,5,5.706,-0.83,-0.322,5.341
8,5,10.863,-2.276,-0.283,7.333
9,5,8.206,-0.069,0.731,7.079
5,6,6.136,1.825,1.591,0.77
3,6,3.831,6.581,5.184,-1.143
2,6,4.925,10.223,2.86,-2.002
1,6,4.3,5.692,5.907,-2.901
1,1,-1.597,7.177,2.645,2.567
2,1,3.489,6.591,1.044,9.218
3,1,4.779,5.614,-0.166,4.012
4,1,0.941,6.2,-0.088,3.309
5,1,8.402,4.091,-2.471,4.735
6,1,5.745,1.591,-2.705,5.184
6,2,11.956,3.388,-3.174,3.466
5,2,5.482,4.325,-0.596,1.981
4,2,4.573,13.495,0.536,4.999
3,2,0.12,8.632,4.296,3.592
2,2,-0.035,5.058,5.292,1.278
